experiment,pipeline,detector,Gamma,ADD_reset,ADD_warmstart,delta_ADD,se_delta_paired,n_paired,censor_horizon,alarm_time_censored_reset,alarm_time_censored_warmstart,delta_censored,se_delta_censored,n_censored,DetRate_reset,DetRate_warmstart,n_preonset_leak_reset,n_preonset_leak_warmstart
expB_H1,Concept,PHT,22.777777777777779,NaN,27.074999999999999,-300.04166666666669,36.419132133900085,24,5000,4977.7219999999998,27.074999999999999,-4950.6469999999999,4.5725667006011275,5000,0.0047999999999999996,1,0,120
expB_H1,Concept,PHT,28.222222222222221,NaN,27.1402,-303.39393939393938,35.559008240303555,33,5000,4969.4304000000002,27.1402,-4942.2902000000004,5.3540172409990783,5000,0.0066,1,0,120
expB_H1,Concept,PHT,33.666666666666671,NaN,27.143999999999998,-332.6904761904762,36.960104807497899,42,5000,4961.3343999999997,27.143999999999998,-4934.1904000000004,5.9988989412449216,5000,0.0083999999999999995,1,0,120
expB_H1,Concept,PHT,39.111111111111114,NaN,27.1266,-390.89473684210526,44.752960755379199,57,5000,4948.1257999999998,27.1266,-4920.9992000000002,6.8997796277601742,5000,0.0114,1,0,120
expB_H1,Concept,PHT,44.555555555555557,NaN,27.1234,-409.58730158730157,49.604207342039757,63,5000,4942.8977999999997,27.1234,-4915.7744000000002,7.2271032720772057,5000,0.0126,1,0,120
expB_H1,Concept,PHT,50,NaN,27.0962,-443.6901408450704,48.437387622973098,71,5000,4936.1139999999996,27.0962,-4909.0177999999996,7.6114177229069808,5000,0.014200000000000001,1,0,120
expB_H1,Concept,PHT,60,NaN,27.072399999999998,-496.15555555555557,52.355878898255227,90,5000,4919.9813999999997,27.072399999999998,-4892.9089999999997,8.471941148353439,5000,0.017999999999999999,1,0,120
expB_H1,Concept,PHT,75.555555555555557,NaN,27.028199999999998,-545.20560747663546,50.569060656346686,107,5000,4905.9009999999998,27.028199999999998,-4878.8728000000001,9.1284377523863203,5000,0.021399999999999999,1,0,120
expB_H1,Concept,PHT,91.111111111111114,NaN,27.027000000000001,-541.55833333333328,43.895712602150638,120,5000,4894.4138000000003,27.027000000000001,-4867.3868000000002,9.6520376855588719,5000,0.024,1,0,120
expB_H1,Concept,PHT,106.66666666666666,NaN,27.026399999999999,-541.3984962406015,39.746604165680701,133,5000,4883.0147999999999,27.026399999999999,-4855.9884000000002,10.143174160463669,5000,0.026599999999999999,1,0,120
expB_H1,Concept,PHT,122.22222222222223,NaN,27.002199999999998,-572.75714285714287,44.605734139597267,140,5000,4877.7623999999996,27.002199999999998,-4850.7601999999997,10.345129424021332,5000,0.028000000000000001,1,0,120
expB_H1,Concept,PHT,137.77777777777777,NaN,27.014199999999999,-617.2602739726027,47.424403762753521,146,5000,4873.8858,27.014199999999999,-4846.8716000000004,10.466900189769868,5000,0.0292,1,0,120
expB_H1,Concept,PHT,153.33333333333331,NaN,26.990600000000001,-657.20000000000005,50.964526299476553,155,5000,4867.3487999999998,26.990600000000001,-4840.3581999999997,10.699435377721219,5000,0.031,1,0,120
expB_H1,Concept,PHT,168.88888888888889,NaN,26.964400000000001,-664.53374233128829,48.515250721208687,163,5000,4860.7533999999996,26.964400000000001,-4833.7889999999998,10.939636832482389,5000,0.032599999999999997,1,0,120
expB_H1,Concept,PHT,184.44444444444446,NaN,26.922599999999999,-665.31952662721892,47.711040257058045,169,5000,4855.6764000000003,26.922599999999999,-4828.7538000000004,11.130986077042836,5000,0.033799999999999997,1,0,120
expB_H1,Concept,PHT,200,NaN,26.946400000000001,-648.08333333333337,47.126884960147251,168,5000,4856.0465999999997,26.946400000000001,-4829.1001999999999,11.139281917265514,5000,0.033599999999999998,1,0,120
expB_H1,Concept,ADWIN,1,NaN,66.517503500700144,NaN,NaN,1,5000,4999.9661999999998,67.504199999999997,-4932.4620000000004,1.0117683757902545,5000,0.00020000000000000001,0.99980000000000002,0,2
