regime,etf,seed,alpha,beta,gamma_penalty,p_data,p_concept,error_rate,classifier_version
Cal. B,PFF,19,0.062,0.92800000000000005,43.447439353099867,0,0.339979958136302,0.50075000000000003,0.23.0
Cal. B,PFF,20,0.062,0.92800000000000005,43.447439353099867,0,0.20036540339689776,0.51124999999999998,0.23.0
Cal. B,PFF,21,0.062,0.92800000000000005,43.447439353099867,0,0.5889173443587451,0.50637500000000002,0.23.0
Cal. B,PFF,22,0.062,0.92800000000000005,43.447439353099867,0,0.6455631172738665,0.49887500000000001,0.23.0
Cal. B,PFF,23,0.062,0.92800000000000005,43.447439353099867,0,0.1449163526703795,0.50575000000000003,0.23.0
Cal. B,PFF,24,0.062,0.92800000000000005,43.447439353099867,0,0.48298281827305545,0.50312500000000004,0.23.0
Cal. B,PFF,25,0.062,0.92800000000000005,43.447439353099867,0,0.59762754955733355,0.49725000000000003,0.23.0
Cal. B,PFF,26,0.062,0.92800000000000005,43.447439353099867,0,0.58452173527107609,0.51312500000000005,0.23.0
Cal. B,PFF,27,0.062,0.92800000000000005,43.447439353099867,0,0.64654717669714645,0.49987500000000001,0.23.0
Cal. B,PFF,28,0.062,0.92800000000000005,43.447439353099867,0,0.72466338444770062,0.4945,0.23.0
Cal. B,PFF,29,0.062,0.92800000000000005,43.447439353099867,0,0.89727719378193915,0.50249999999999995,0.23.0
Cal. B,PFF,30,0.062,0.92800000000000005,43.447439353099867,0,0.19351407666558113,0.50312500000000004,0.23.0
Cal. B,SPY,1,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.78106267485151271,0.50112500000000004,0.23.0
Cal. B,SPY,2,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.68747960926755003,0.49612499999999998,0.23.0
Cal. B,SPY,3,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.9811278585356451,0.4965,0.23.0
Cal. B,SPY,4,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.93940661845078655,0.4995,0.23.0
Cal. B,SPY,5,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.48836676938080037,0.50475000000000003,0.23.0
Cal. B,SPY,6,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.31150369167076097,0.49812499999999998,0.23.0
Cal. B,SPY,7,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.15066654857572775,0.50062499999999999,0.23.0
Cal. B,SPY,8,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.37586965946288087,0.50437500000000002,0.23.0
Cal. B,SPY,9,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.91351302120704325,0.50275000000000003,0.23.0
Cal. B,SPY,10,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.93534479995109121,0.50312500000000004,0.23.0
Cal. B,SPY,11,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.58731474995795308,0.49275000000000002,0.23.0
Cal. B,SPY,12,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.89198468144536125,0.49637500000000001,0.23.0
Cal. B,SPY,13,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.48917554545226172,0.49337500000000001,0.23.0
Cal. B,SPY,14,0.089999999999999997,0.89300000000000002,31.941168029240849,3.6304250750820364e-285,0.067883700075869816,0.49637500000000001,0.23.0
Cal. B,SPY,15,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.43397775506499819,0.50612500000000005,0.23.0
Cal. B,SPY,16,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.27847178240926013,0.49725000000000003,0.23.0
Cal. B,SPY,17,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.31358782170182181,0.50749999999999995,0.23.0
Cal. B,SPY,18,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.89631533013072351,0.49337500000000001,0.23.0
Cal. B,SPY,19,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.0073574746313920291,0.49662499999999998,0.23.0
Cal. B,SPY,20,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.95701024848982941,0.49875000000000003,0.23.0
Cal. B,SPY,21,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.27076759532150213,0.50749999999999995,0.23.0
Cal. B,SPY,22,0.089999999999999997,0.89300000000000002,31.941168029240849,0,0.68917103984667394,0.49199999999999999,0.23.0
